artifact_id,kind,path_or_uri,parent_artifact_ids,producer_stage,branch_id,schema,units,basis,checksum,software_version,method_or_checkpoint,created_at,status,validity,retention,notes
RAW_MPTRJ,dataset,Datasets/Neo/raw/mptrj_figshare/MPtrj_2022.9_full.json,,S01,ROOT,MPtrj-v2022.9,"source VASP units",Cartesian,05a675acd4f17a1dadd8a4ea6ea79fe58d3ffb28ca20277383b8f990d4787cf6,upstream,"MP GGA/GGA+U",2026-07-25,validated,"immutable official archive",retain,"145923 materials; 1580395 frames"
RAW_JARVIS_DFPT,dataset,Datasets/Neo/reports/jarvis_dfpt_selection_120.json,,S01,ROOT,JARVIS-DFPT-selection-v1,"source VASP units",Cartesian,9a19c240045438dd846f34c354d22b2d6f1149128cde5b5203316993c10aa1c5,Datasets_Preparation.py,VASP-DFPT-optB88vdW,2026-07-25,validated,"selection and archive provenance for 120 records",retain,"112 accepted after tensor sanity gates"
D01,label,Datasets/Neo/canonical/neo_l1_mptrj_static_40000.h5,RAW_MPTRJ,S03,ROOT,e3mu-hdf5-v1,"eV; eV/Angstrom; eV/Angstrom^3",Cartesian,17acc6731e7c9a794d1f6ffdfa18ef3a31e2fdb087bd9c1326e6ffdd0d3268df,Datasets_Preparation.py,"MP GGA/GGA+U",2026-07-25,validated,"fully periodic MPtrj subset",retain,"40000 stress labels"
D02,label,Datasets/Neo/canonical/neo_l3_mptrj_magnetic_24000.h5,RAW_MPTRJ,S03,ROOT,e3mu-hdf5-v1,"eV; eV/Angstrom; eV/Angstrom^3",Cartesian,15562be48ecfa4dac1fa823a59d84765405911def2b89072fafe8794bdaadd5b,Datasets_Preparation.py,"MP GGA/GGA+U",2026-07-25,validated,"fully periodic collinear magnetic subset",retain,"24000 stress+spin labels; not paired magnetoelastic"
D03,label,Datasets/Neo/canonical/neo_l1_l3_mptrj_large_max4.h5,RAW_MPTRJ,S03,ROOT,e3mu-hdf5-v1,"eV; eV/Angstrom; eV/Angstrom^3",Cartesian,af2b99b3fca1305c729f250b0d2507c546a8791e35dde59a284c1810eb984fcd,Datasets_Preparation.py,"MP GGA/GGA+U",2026-07-25,validated,"fully periodic trajectory core",retain,"505736 stress labels; 72929 stress+spin"
D04,label,Datasets/Neo/canonical/neo_l2_jarvis_dfpt_bec_120.h5,RAW_JARVIS_DFPT,S03,ROOT,e3mu-hdf5-v1,"eV/Angstrom^3; C/m^2; e",Cartesian,baf470cc652a976f0bcfd1f36debb230bb4a204b770d9124d18f326497f938e9,Datasets_Preparation.py,VASP-DFPT-optB88vdW,2026-07-25,validated,"112 fully periodic passed DFPT records",retain,"stress+BEC+electronic clamped-ion piezoelectric"
D05,dataset,Datasets/Neo/canonical/neo_mixed_l1_l2_l3.h5,"D01;D02;D04",S04,ROOT,e3mu-hdf5-v1,registry,Cartesian,8770ee2c21d36fb6f6d6ab6406b855d266c02c0d198073055ec45146ff9f9ae9,Datasets_Preparation.py,mixed-source-policy,2026-07-25,validated,"Standard mixed training domain",retain,"also retains independently validated molecular/field response shards; 22873 stress; 112 L2 matched; 12000 L3 stress+spin"
D06,structure,Datasets/Neo/raw/vasp_magnetoelastic_paired_v1/manifest.json,,S05,B01,e3mu-vasp-jobs-v1,"Angstrom; dimensionless strain",Cartesian,,Datasets_Preparation.py,"PBE/PBE+U constrained spin",2026-07-25,ready,"input scaffold only",retain,"1080 jobs; no POTCAR or OUTCAR"
D07,dataset,Datasets/Neo/canonical/neo_tiny_l1_l2_l3.h5,D05,S04,ROOT,e3mu-hdf5-v1,registry,Cartesian,5d3668abb3ce44780447e34d3d802b703c3d724b3f5e09272d05c5034a6ef7ec,Datasets_Preparation.py,coverage-stratified-tier,2026-07-25,validated,"portable nested Tiny domain",retain,"5780 structures; 2024 stress; 112 L2 matched; 974 stress+spin"
D08,dataset,Datasets/Neo/canonical/neo_small_l1_l2_l3.h5,D05,S04,ROOT,e3mu-hdf5-v1,registry,Cartesian,ec940fadd9246f2ce6b47172f65dd5805c9e353fc075ee29007a311218eb2855,Datasets_Preparation.py,coverage-stratified-tier,2026-07-25,validated,"portable nested Small domain",retain,"16703 structures; 8243 stress; 112 L2 matched; 4220 stress+spin"
D09,dataset,Datasets/Neo/canonical/neo_large_l1_l2_l3.h5,"D03;D04",S04,ROOT,e3mu-hdf5-v1,registry,Cartesian,a10efab8f6b9f31169eda6435a0f8d8e70071ac41849f512985c0b65de43dd3a,Datasets_Preparation.py,large-source-policy,2026-07-25,validated,"trajectory-rich Large training domain",retain,"also retains independently validated molecular/field response shards; 613267 structures; 505848 stress; 112 L2 matched; 72929 stress+spin"
D10,report,Datasets/Neo/reports/neo_tier_hierarchy_audit.json,"D05;D07;D08",S04,ROOT,ordered-nested-tier-audit,registry,none,bc1caddc50deb372f176b2785ff36799fc43f9977a9cfc419cab0c2c75d92dfd,Datasets_Preparation.py,dataset-tier-audit,2026-07-25,validated,"Tiny subset Small subset Standard",retain,"all nested; all valid; no response-family leakage; evaluation elements covered by train"
